district_number,area_name_fa,year_window,window_start,window_end,months_present,price_psm_median_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size_median,sample_size_min,trust_direct_months,trust_modeled_months,confidence,notes
17,منطقه 17,1405 (1404-06..1405-05),1404-06,1405-05,12,66147540.985,57706552.705,76614082.88,4000000000.0,7941.0,4113,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
18,منطقه 18,1401 (1400-06..1401-05),1400-06,1401-05,12,17250000.0,14482936.51,21675071.555,1145000000.0,1194.0,904,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
18,منطقه 18,1402 (1401-06..1402-05),1401-06,1402-05,12,41643442.625,29794121.875,55319736.84,4000000000.0,4031.0,689,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
18,منطقه 18,1403 (1402-06..1403-05),1402-06,1403-05,12,50000000.0,41223910.019999996,68164255.995,3790000000.0,5950.5,4122,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
18,منطقه 18,1404 (1403-06..1404-05),1403-06,1404-05,12,52000000.0,44803122.32,60000001.065,3400000000.0,5059.5,3273,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
18,منطقه 18,1405 (1404-06..1405-05),1404-06,1405-05,12,64549961.865,53776106.935,78059701.495,4275000000.0,6925.0,4003,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
19,منطقه 19,1401 (1400-06..1401-05),1400-06,1401-05,12,19045988.259999998,14444421.925,26222165.995,1250000000.0,581.0,439,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
19,منطقه 19,1402 (1401-06..1402-05),1401-06,1402-05,12,30192307.689999998,19857142.855,39597906.730000004,2020000000.0,868.5,40,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
19,منطقه 19,1403 (1402-06..1403-05),1402-06,1403-05,12,50881701.635000005,40000000.0,61269230.769999996,3297250000.0,1924.5,1596,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
19,منطقه 19,1404 (1403-06..1404-05),1403-06,1404-05,12,60726030.555,46407489.765,73478741.75,4225000000.0,2440.0,1546,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
19,منطقه 19,1405 (1404-06..1405-05),1404-06,1405-05,12,72917068.465,52141173.39,95708128.08,4950000000.0,3257.5,1677,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
20,منطقه 20,1401 (1400-06..1401-05),1400-06,1401-05,12,17500000.0,12849206.35,23000000.0,1200000000.0,1108.5,823,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
